"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","TagStyle__TagContent-sc-66xi2f-0","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","stylessc__ShieldBadge-sc-1cbkdr9-1 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3","CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32"
"Senior Data Engineer","https://glints.com/id/opportunities/jobs/senior-data-engineer/ee89413b-e4ec-4c19-8579-8e6c26046609?utm_referrer=explore&traceInfo=46741a40-eb50-4bb1-9442-188634add4d7","Perusahaan Premium","Hybrid","Penuh Waktu","5 – 10 tahun","Minimal Diploma (D1 - D4)","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f40981997aca8d16f9a249e77ce7e779.png","https://glints.com/images/icons/vip-badge.svg","Pt. Solusi Pembayaran Elektronik","https://glints.com/id/companies/pt-solusi-pembayaran-elektronik/185c85fe-75ce-4371-8a5c-b399b0dcfc7d","Cipondoh","https://glints.com/id/job-location/indonesia/banten/tangerang/cipondoh","Tangerang","https://glints.com/id/job-location/indonesia/banten/tangerang","Banten","https://glints.com/id/job-location/indonesia/banten","Kemarin","Rp 8 jt-14 jt"
"Enterprise Data Warehouse - Banking","https://glints.com/id/opportunities/jobs/enterprise-data-warehouse-banking/41e73c33-da16-4716-82e8-75a49bbca6b4?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","Perusahaan Premium","Kontrak","3 – 5 tahun","Minimal Sarjana (S1)","Linux System Administration","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png","https://glints.com/images/icons/vip-badge.svg","PT Sigma Global Teknologi","https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae","Setiabudi","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","7 hari yang lalu","Rp 13 jt-14 jt"
"IT Business Process Analyst","https://glints.com/id/opportunities/jobs/it-business-process-analyst/0a7998b4-fba7-4088-b6de-4f947f2934c9?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","Perusahaan Premium","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","Product Development","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png","https://glints.com/images/icons/vip-badge.svg","PT Sigma Global Teknologi","https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae","Cakung","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur/cakung","Jakarta Timur","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","20 hari yang lalu","Rp 6,5 jt-7 jt"
"Product Marketing Analyst","https://glints.com/id/opportunities/jobs/product-marketing-analyst/bd86d05f-1cab-486d-8720-048c58d2bd15?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","Communication Skills","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/93bbdaf15958d2c02f4506745494cae6.png","","PT AKARI Indonesia","https://glints.com/id/companies/pt-akari-indonesia/d94d75ba-3510-47ef-b96a-9f1bb5368ca5","Kemayoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/kemayoran","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","6 hari yang lalu","Rp 5 jt-6 jt"
"System Analyst","https://glints.com/id/opportunities/jobs/system-analyst/06f3d507-7c16-4682-ac79-a721b353df08?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","Perusahaan Premium","Penuh Waktu","1 – 3 tahun","Minimal Diploma (D1 - D4)","UML","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/5579b6a466f477d7e787e054ac604d79.jpg","https://glints.com/images/icons/vip-badge.svg","PT Inova Medika Solusindo","https://glints.com/id/companies/pt-inova-medika-solusindo/d3f5ff95-95c2-47de-9e23-dd2a5f71ecd6","Samarinda Ulu","https://glints.com/id/job-location/indonesia/kalimantan-timur/samarinda/samarinda-ulu","Samarinda","https://glints.com/id/job-location/indonesia/kalimantan-timur/samarinda","Kalimantan Timur","https://glints.com/id/job-location/indonesia/kalimantan-timur","19 hari yang lalu","Rp 3,5 jt-4,5 jt"
"IT Business Analyst Supervisor","https://glints.com/id/opportunities/jobs/it-business-analyst-supervisor/fbdd03f9-c807-4136-a0af-ba9d0f38ade9?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","Perusahaan Premium","Penuh Waktu","3 – 5 tahun","Minimal Sarjana (S1)","Business Analyst","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d39327a049eb1bbdc5c1b5cabb723623.png","https://glints.com/images/icons/vip-badge.svg","PT Tunas Ridean, Tbk","https://glints.com/id/companies/pt-tunas-ridean-tbk/281f9952-3b0f-4336-897b-be0a15d2e215","Pancoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/pancoran","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","22 hari yang lalu","Rp 5 jt-10 jt"
"Program Magang (Administrasi/Data Analyst/Statutory/Operasional)","https://glints.com/id/opportunities/jobs/program-magang-administrasi-data-analyst-statutory-operasional/bb165cd9-1858-4811-a82f-a02491e5b2c9?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","","Magang","Minimal Diploma (D1 - D4)","Microsoft Excel","Data Entry","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/44edb006eec06fd82249451ee7b08fee.jpeg","","PT. GURITA LINTAS SAMUDERA (GLS)","https://glints.com/id/companies/pt-gurita-lintas-samudera-gls/ec958f58-334f-46df-a06a-b624653d3dd3","Grogol Petamburan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/grogol-petamburan","Jakarta Barat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","9 hari yang lalu","Rp 1 jt-1,5 jt"
"Staff Warehouse & Data Inventory","https://glints.com/id/opportunities/jobs/staff-warehouse-and-data-inventory/bea1f7aa-a47f-46bf-8aed-d0faf784964f?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","Perusahaan Premium","Penuh Waktu","3 – 5 tahun","Minimal Diploma (D1 - D4)","Microsoft Excel","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/503438cee452db77a94a02e1c3e31c61.png","https://glints.com/images/icons/vip-badge.svg","Zeta Bags Group","https://glints.com/id/companies/zeta-bags-group/8459cb41-d3dc-441a-8599-ef47a21e00eb","Mampang Prapatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/mampang-prapatan","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","16 hari yang lalu","Rp 5 jt-6 jt"
"Analis Data HRIS (Human Resources Information System)","https://glints.com/id/opportunities/jobs/analis-data-hris-human-resources-information-system/df255933-141b-4c2e-9fee-a59fcdbaf7f2?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","Perusahaan Premium","Kontrak","1 – 3 tahun","Minimal Sarjana (S1)","HR Policies","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/95debadce68af7b38dc7fe6230658794.png","https://glints.com/images/icons/vip-badge.svg","KSO Sucofindo - Surveyor Indonesia","https://glints.com/id/companies/kso-sucofindo-surveyor-indonesia/171337ac-595b-4ee1-9417-8ae34539a45d","Pancoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/pancoran","Jakarta Selatan","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","24 hari yang lalu",""
"Financial Planning Analyst","https://glints.com/id/opportunities/jobs/financial-planning-analyst/079d2c14-7b1d-47b0-b2d6-01fb4b5a88ab?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","","Penuh Waktu","5 – 10 tahun","Minimal Sarjana (S1)","Microsoft Excel","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/8294706e239f673e63b46b25e07f1404.jpg","","PT Jola Mitra Utama (Yogyakarta)","https://glints.com/id/companies/pt-jola-mitra-utama-yogyakarta/be862141-af2a-4d25-8682-ed0fc0b2dd81","Kemayoran","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/kemayoran","Jakarta Pusat","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","14 hari yang lalu","Rp 20 jt-25 jt"
"IT Business Analyst","https://glints.com/id/opportunities/jobs/it-business-analyst/b0e2c56b-37cb-43f2-8d40-c5431f360e5d?utm_referrer=explore&traceInfo=72a48cad5a034676d749609b582079da","","Penuh Waktu","1 – 3 tahun","Minimal Sarjana (S1)","System Integration","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/8dd5fc2a4f41a241e97fd2abc1e8ea08.png","","PT Nusapala Group","https://glints.com/id/companies/pt-nusapala-group/b61d0d94-db46-441e-bba2-968ebd6ee5ed","Ciracas","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur/ciracas","Jakarta Timur","https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur","DKI Jakarta","https://glints.com/id/job-location/indonesia/dki-jakarta","17 hari yang lalu","Rp 4,9 jt-5,1 jt"
