,Job_Title,Information,Company_Type,Job_Contract,Experience,Education,Required_Skills,Skills,Company,Location,City,Province,Job_Posting,Salary
54,Analis Bisnis,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Analytical Skills,7,Pt. Mitra Utama Solusi Telematika,Mampang Prapatan,Jakarta Selatan,DKI Jakarta,20 hari yang lalu,"Rp 6 jt-9,5 jt"
55,UNPAID Data Engineer,,,Hybrid,Magang,Kurang dari setahun,Minimal Diploma (D1 - D4),3,Social Economy Accelerator Lab Malang,Gayungan,Surabaya,Jawa Timur,1 bulan yang lalu,Rp 1 jt-2 jt
56,Analis Laboratorium,,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Teamwork,3,Laboratorium Amerind Bio-clinic,Kebon Jeruk,Jakarta Barat,DKI Jakarta,Kemarin,"Rp 4 jt-5,5 jt"
57,Analis Kredit,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Analisa Kredit,3,PT. BPR FIANKA REZALINA FATMA,Binawidya,Pekanbaru,Riau,2 hari yang lalu,"Rp 4,5 jt-8 jt"
58,Solution Analyst Trainee,,,Kontrak,Kurang dari setahun,Minimal Sarjana (S1),Jira,3,PT. Aero Systems Indonesia (Garuda Indonesia Group),Benda,Tangerang,Banten,Kemarin,"Rp 5,4 jt-6 jt"
59,Credit Analyst,,,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Discipline,3,PT Bintang Service Management,Pemalang,Kab. Pemalang,Jawa Tengah,13 hari yang lalu,"Rp 2,2 jt-3,2 jt"
60,Data Compliance Support,,,Kontrak,1 – 3 tahun,Minimal Diploma (D1 - D4),Legal Compliance,6,PT. Cura Indonesia,Denpasar Selatan,Denpasar,Bali,9 hari yang lalu,"Rp 4,5 jt-6,5 jt"
61,Marketing Analyst,,,Penuh Waktu,Minimal Diploma (D1 - D4),Microsoft Excel,Administration,6,PT. SMSS,Driyorejo,Kab. Gresik,Jawa Timur,16 hari yang lalu,Rp 3 jt
62,Credit Analyst - Indramayu,,,Penuh Waktu,1 – 3 tahun,Minimal SMA/SMK,Financial Analysis,8,PT LOLC Ventura Indonesia - Cirebon,Indramayu,Kab. Indramayu,Jawa Barat,8 hari yang lalu,"Rp 4 jt-4,5 jt"
63,Business Analyst Intern,,,Hybrid,Magang,Kurang dari setahun,Minimal Sarjana (S1),8,Phintraco Group,Medan Satria,Bekasi,Jawa Barat,9 hari yang lalu,Rp 1 jt-2 jt
64,Credit Analyst Ass Manager,,,Penuh Waktu,5 – 10 tahun,Minimal Sarjana (S1),Analytical Skills,6,PT. Internusa Tribuana Citra Multi Finance (ITC Multi Finance),Pademangan,Jakarta Utara,DKI Jakarta,28 hari yang lalu,Rp 15 jt-20 jt
65,Lead Generation Analyst,,,Penuh Waktu,Kurang dari setahun,Minimal SMA/SMK,Computer Skills,5,College of Contract Management United Kingdom,Setiabudi,Jakarta Selatan,DKI Jakarta,10 hari yang lalu,Rp 3 jt-4 jt
66,Marketing Analyst,,,Penuh Waktu,Minimal SMA/SMK,Digital Marketing,Social Media Marketing & Management,3,JogjaIstimewa Kontraktor,Kapanewon Piyungan,Kab. Bantul,DI Yogyakarta,24 hari yang lalu,Rp 2 jt-3 jt
67,Media Analyst,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Article Writing,5,PT Konten Media Berjejaring,Kartasura,Kab. Sukoharjo,Jawa Tengah,24 hari yang lalu,"Rp 2 jt-2,5 jt"
68,Intern Research Analyst,,,Magang,Kurang dari setahun,Minimal Sarjana (S1),Responsible,3,MY Media,Kebayoran Lama,Jakarta Selatan,DKI Jakarta,13 hari yang lalu,"Rp 1 jt-1,5 jt"
69,Corporate Finance Analyst,,,Hybrid,Paruh Waktu,1 – 3 tahun,Minimal SMA/SMK,3,RM. Sabrang Palito,Ujung Berung,Bandung,Jawa Barat,14 hari yang lalu,"Rp 1,5 jt-2,5 jt"
70,Data Monitoring Internship,,,Penuh Waktu,Kurang dari setahun,Minimal Diploma (D1 - D4),Attention to Detail,3,Turnkey Group,Kemantren Tegalrejo,Yogyakarta,DI Yogyakarta,20 hari yang lalu,Rp 1 jt-2 jt
